	ภาค	จังหวัด	2547	2549	2550	2552	2554	2556	2558	2560	2562	2564	2566
035		แพร่	11,333.35	12,591.00	14,045.00	13,033.86	18,157.20	19,417.80	21,795.50	19,850.21	21,398.36	20,366.72	25,290.00
036		น่าน	10,750.81	10,590.00	11,407.00	14,624.32	16,249.30	17,597.50	17,886.20	19,591.20	18,041.55	20,555.92	20,376.00
037		พะเยา	9,642.81	10,352.00	11,348.00	13,188.95	14,456.80	15,491.10	17,673.10	14,593.62	14,353.79	16,338.27	17,391.00
038		เชียงราย	8,920.50	10,495.00	13,736.00	13,277.53	15,033.70	13,510.10	13,497.20	11,808.93	15,056.38	15,618.97	15,745.00
039		แม่ฮ่องสอน	8,675.94	6,544.00	7,245.00	7,935.83	9,024.30	8,820.90	15,119.40	15,617.49	13,970.93	15,495.95	18,509.00
040		นครสวรรค์	10,199.68	14,947.00	15,141.00	17,127.21	21,560.90	24,158.30	21,952.30	21,002.53	22,137.00	20,527.42	23,139.00
041		อุทัยธานี	9,816.70	13,258.00	12,036.00	17,425.09	18,487.10	20,149.70	20,114.50	21,165.96	19,873.05	18,427.96	20,608.00
042		กำแพงเพชร	12,776.33	15,337.00	15,559.00	18,115.32	18,671.90	22,082.60	20,140.20	18,770.80	19,264.31	20,941.15	22,442.00
043		ตาก	9,548.85	10,963.00	10,791.00	12,452.55	12,935.60	17,020.00	20,079.40	16,508.97	17,654.59	22,631.76	22,647.00
044		สุโขทัย	11,427.05	13,843.00	12,720.00	15,410.71	18,098.40	24,121.20	22,251.50	21,227.47	22,358.60	22,460.92	26,857.00
045		พิษณุโลก	12,750.56	14,117.00	13,364.00	15,779.15	17,474.00	27,489.50	19,235.10	20,348.05	20,199.16	20,912.97	26,225.00
046		พิจิตร	10,950.58	13,488.00	15,603.00	21,820.70	18,129.70	21,663.70	22,100.50	19,412.03	21,229.41	22,192.41	22,927.00
047		เพชรบูรณ์	9,571.51	11,323.00	12,914.00	17,096.04	15,677.70	19,918.30	21,336.50	21,350.44	24,623.56	26,150.56	27,717.00
048	ภาคตะวันออกเฉียงเหนือ	ภาคตะวันออกเฉียงเหนือ	10,139.35	11,815.00	12,995.00	15,358.00	18,217.00	19,181.00	21,094.00	20,270.82	20,600.34	21,587.00	22,524.00
049		นครราชสีมา	11,398.40	13,320.00	14,177.00	19,158.06	19,399.40	22,479.20	26,376.30	24,428.92	25,735.93	24,779.44	27,775.00
050		บุรีรัมย์	8,631.96	9,698.00	10,263.00	13,734.00	17,315.80	15,624.40	18,479.60	15,381.62	14,742.31	23,045.17	21,961.00
051		สุรินทร์	8,094.60	11,850.00	12,257.00	11,310.49	18,287.40	21,351.00	20,314.60	18,188.90	20,238.21	24,008.81	22,216.00
052		ศรีสะเกษ	8,745.02	9,406.00	10,782.00	10,666.24	13,943.90	16,207.20	18,792.50	17,484.66	16,136.56	16,568.69	19,858.00
053		อุบลราชธานี	11,696.67	12,035.00	14,534.00	16,747.40	21,659.60	22,343.70	20,452.50	24,380.10	18,397.86	20,969.28	20,317.00
054		ยโสธร	9,409.74	9,969.00	10,040.00	11,813.45	16,766.80	14,418.40	19,517.90	16,752.27	17,768.39	19,666.59	24,439.00
055		ชัยภูมิ	9,161.32	11,551.00	11,253.00	12,380.01	15,794.30	18,641.00	23,829.50	25,543.60	20,856.32	20,280.25	22,778.00
056		อำนาจเจริญ	11,422.90	13,134.00	11,889.00	14,763.38	15,975.40	17,272.80	21,172.90	18,230.69	20,320.06	20,814.25	28,515.00
057		บึงกาฬ						20,207.00	23,766.60	22,668.18	22,787.29	24,345.36	25,137.00
058		หนองบัวลำภู	8,317.90	11,030.00	12,824.00	14,011.99	17,139.10	15,390.40	22,552.50	22,647.58	18,745.43	23,867.04	24,491.00
059		ขอนแก่น	13,087.69	11,349.00	15,065.00	19,778.80	16,030.40	18,095.00	21,336.70	19,848.04	19,252.50	18,028.45	19,326.00
060		อุดรธานี	10,788.81	14,097.00	17,273.00	16,684.20	22,017.30	25,965.90	22,817.40	20,718.24	25,766.53	22,606.52	21,212.00
061		เลย	10,013.09	12,083.00	13,765.00	13,410.79	17,957.70	16,337.60	20,990.40	21,076.99	25,422.29	26,532.42	23,766.00
062		หนองคาย	11,465.55	12,877.00	12,885.00	14,466.97	16,978.80	18,057.90	21,206.50	21,175.28	20,579.85	21,574.78	26,201.00
063		มหาสารคาม	10,178.00	13,646.00	15,812.00	19,845.24	25,461.20	21,643.80	18,540.30	20,137.94	22,191.96	26,542.15	21,169.00
064		ร้อยเอ็ด	9,816.84	10,849.00	11,779.00	14,931.99	20,167.00	20,505.20	19,990.40	19,026.86	18,818.99	17,713.50	20,354.00
065		กาฬสินธุ์	8,907.81	12,445.00	12,507.00	11,747.71	17,292.90	13,921.10	15,451.60	14,263.81	19,088.97	19,398.37	20,600.00
066		สกลนคร	8,971.44	11,295.00	11,957.00	16,679.27	15,326.20	16,854.20	19,280.90	17,819.56	18,451.97	22,507.75	20,652.00
067		นครพนม	8,168.42	9,927.00	10,009.00	12,858.56	14,053.40	14,310.40	15,804.40	15,834.42	23,431.14	18,524.55	22,099.00
068		มุกดาหาร	9,284.05	13,497.00	13,406.00	17,369.78	19,048.40	16,494.40	22,869.70	20,439.56	18,842.75	20,607.88	24,925.00
069	ภาคใต้	ภาคใต้	14,468.53	18,668.00	19,716.00	22,926.00	27,326.00	27,504.00	26,286.00	26,913.09	25,647.47	26,621.00	28,532.00
070		นครศรีธรรมราช	14,078.71	17,377.00	18,087.00	23,295.89	29,970.40	27,478.90	25,124.00	26,239.27	28,412.35	31,052.80	33,414.00
071		กระบี่	16,876.96	18,446.00	18,852.00	23,647.37	33,350.30	27,275.80	31,011.50	34,052.87	28,521.69	29,840.64	28,360.00
072		พังงา	16,965.02	25,349.00	22,211.00	22,355.84	24,470.40	26,167.70	28,842.30	24,631.91	22,443.69	24,593.65	22,143.00
073		ภูเก็ต	25,081.96	25,630.00	25,084.00	28,514.73	26,048.00	31,857.40	31,499.70	39,593.56	36,699.01	33,328.16	41,865.00
074		สุราษฎร์ธานี	16,150.29	21,747.00	26,207.00	30,604.00	34,416.60	36,864.50	36,465.60	38,025.69	32,014.02	34,402.22	33,523.00
075		ระนอง	14,327.52	18,679.00	21,620.00	19,274.00	26,048.70	32,291.80	22,034.70	23,832.60	27,600.25	21,990.56	26,739.00
076		ชุมพร	11,482.41	17,244.00	19,003.00	25,179.00	28,021.50	27,540.20	29,306.10	28,758.67	29,782.00	30,598.05	32,324.00
077		สงขลา	15,480.61	22,093.00	22,342.00	27,356.00	26,711.20	26,824.10	27,659.90	26,702.74	20,781.10	22,691.40	23,933.00
078		สตูล	11,825.93	14,307.00	17,328.00	20,695.00	21,046.80	25,399.60	23,208.50	22,614.49	22,253.58	23,866.82	23,448.00
079		ตรัง	17,038.25	20,801.00	23,650.00	21,992.00	36,245.20	33,269.90	23,309.10	21,813.89	26,004.22	24,457.23	28,288.00
080		พัทลุง	14,984.53	18,045.00	18,670.00	19,381.00	25,201.90	26,169.30	21,478.30	20,508.68	20,084.91	24,084.10	26,290.00
081		ปัตตานี	11,837.21	12,547.00	11,840.00	13,511.00	16,121.50	20,199.10	17,513.00	19,495.51	22,903.84	20,691.69	19,777.00
082		ยะลา	11,886.38	14,354.00	13,698.00	19,619.00	21,858.80	22,483.10	15,583.80	18,018.21	16,588.15	19,181.87	26,759.00
083		นราธิวาส	9,239.83	11,586.00	13,148.00	11,244.00	16,834.40	16,772.80	19,889.60	17,179.61	17,716.50	17,512.02	18,333.00
