,province_ID,poor.household.CNT,poor.JPT.CNT,poor.JPT.MOFreg.CNT,poor.JPT.MOFval.CNT,poor.JPT.MOFval.health,poor.JPT.MOFval.living,poor.JPT.MOFval.education,poor.JPT.MOFval.income,poor.JPT.MOFval.accessibility,JPT.MOFval.pov.rate,poor.JPT.MOFval.ind1.CNT,poor.JPT.MOFval.ind2.CNT,poor.JPT.MOFval.ind3.CNT,poor.JPT.MOFval.ind4.CNT,poor.JPT.MOFval.ind5.CNT,poor.JPT.MOFval.ind6.CNT,poor.JPT.MOFval.ind7.CNT,poor.JPT.MOFval.ind8.CNT,poor.JPT.MOFval.ind9.CNT,poor.JPT.MOFval.ind10.CNT,poor.JPT.MOFval.ind11.CNT,poor.JPT.MOFval.ind12.CNT,poor.JPT.MOFval.ind13.CNT,poor.JPT.MOFval.ind14.CNT,poor.JPT.MOFval.ind15.CNT,poor.JPT.MOFval.ind16.CNT,poor.JPT.MOFval.ind17.CNT,poor.JPT.MOFval.ind18.CNT,poor.JPT.MOFval.ind19.CNT,poor.JPT.MOFval.ind20.CNT,poor.JPT.MOFval.ind21.CNT,poor.JPT.MOFval.ind22.CNT,poor.JPT.MOFval.ind23.CNT,poor.JPT.MOFval.ind24.CNT,poor.JPT.MOFval.ind25.CNT,poor.JPT.MOFval.ind26.CNT,poor.JPT.MOFval.ind27.CNT,poor.JPT.MOFval.ind28.CNT,poor.JPT.MOFval.ind29.CNT,poor.JPT.MOFval.ind30.CNT,poor.JPT.MOFval.ind31.CNT,province_name
48,62,335,907,430,430,9,134,53,267,2,0.0991635668443155,2,0,0,0,0,153,7,131,0,0,3,3,0,0,0,39,4,0,10,16,54,217,21,114,100,1,0,2,0,1,1,กำแพงเพชร
49,63,3739,12494,4761,4761,65,310,3506,1151,0,1.457148628547993,0,0,0,4,26,619,46,152,26,5,190,25,16,0,0,114,11,2,3384,132,448,768,505,1290,1426,28,0,0,0,16,67,ตาก
50,64,3220,8921,3705,3705,240,836,608,2431,7,1.0298904507890267,1,0,1,82,58,320,110,619,13,75,165,10,10,5,3,353,12,11,247,348,1186,1172,410,770,816,37,5,2,0,43,82,สุโขทัย
51,65,4441,12647,5376,5376,201,3417,366,1637,2,1.0944825943472092,2,7,0,65,66,1021,85,3173,18,105,155,46,568,2,1,60,18,6,290,318,553,963,1123,889,1050,89,2,0,0,58,122,พิษณุโลก
52,66,2271,6643,2770,2770,136,416,479,1921,3,0.8760666190153896,3,2,0,10,35,180,91,332,1,8,111,17,24,3,0,260,22,11,199,260,820,1068,513,509,559,26,3,0,0,32,38,พิจิตร
53,67,3801,14797,4808,4808,469,984,1573,2444,1,0.6757222062161384,9,3,7,64,222,182,191,434,203,279,298,78,167,9,3,1060,31,16,485,458,983,1379,795,909,909,112,1,0,0,48,144,เพชรบูรณ์
54,70,307,1057,295,295,5,91,74,145,0,0.057974888029856,0,0,0,0,3,2,2,65,7,12,16,0,0,0,0,70,0,0,4,22,38,101,30,28,43,0,0,0,0,0,5,ราชบุรี
55,71,682,2236,741,741,18,35,37,666,0,0.1579509435490575,0,0,0,0,0,18,18,35,0,0,0,2,5,2,0,23,0,2,14,35,308,337,101,127,152,15,0,0,0,4,2,กาญจนบุรี
56,72,716,2417,834,834,26,131,98,673,0,0.1397321967107644,0,0,0,7,14,79,7,114,9,7,19,2,6,6,1,31,8,2,60,118,299,314,48,88,133,72,0,0,1,61,11,สุพรรณบุรี
57,73,1726,5687,1246,1246,250,141,176,856,5,0.258361498745516,1,1,0,75,20,104,160,107,0,0,49,66,51,2,2,113,10,9,52,135,535,293,464,169,250,61,2,3,2,60,20,นครปฐม
58,74,10,39,7,7,0,0,5,2,0,0.0022932924472051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,สมุทรสาคร
59,75,187,533,220,220,0,0,17,203,0,0.1812653972595967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,22,197,52,3,16,0,0,0,0,0,0,สมุทรสงคราม
60,76,844,2454,704,704,80,150,78,481,0,0.2371775867180551,0,0,0,7,38,208,39,79,9,35,55,12,9,0,3,12,11,3,52,65,293,186,110,139,170,8,0,0,0,13,8,เพชรบุรี
61,77,527,1417,334,334,47,42,93,174,1,0.1127692619353096,1,0,0,9,2,1,36,29,1,1,15,2,29,1,0,8,0,0,87,15,36,144,86,52,89,8,0,1,0,10,4,ประจวบคีรีขันธ์
62,80,12300,36937,9179,9179,2365,3326,1560,3889,24,1.0466290994588403,8,9,0,499,629,1870,1318,463,310,417,2699,297,849,67,9,830,19,79,722,1095,2670,470,3621,1600,3184,707,22,2,0,528,678,นครศรีธรรมราช
63,81,10264,36524,6594,6594,1052,2231,1372,3647,28,2.265730228978257,2,1,0,197,433,1370,544,377,235,481,1674,166,583,16,9,897,34,88,465,1086,1391,1757,3279,507,2367,312,22,6,7,415,361,กระบี่
64,82,262,731,220,220,7,62,32,137,1,0.1409831653283946,0,0,0,6,7,10,0,50,1,2,16,1,5,1,0,20,1,0,11,13,42,93,3,3,39,0,0,1,0,2,0,พังงา
