YEA_GOV,PROV,TAX_TYPE,FORM_CODE,AMT_RCV
2566,กาฬสินธุ์,1,ป2,1828000
2566,กาฬสินธุ์,1,ภงด1,57774078.35
2566,กาฬสินธุ์,1,ภงด2,16637256.22
2566,กาฬสินธุ์,1,ภงด3,46400635.39
2566,กาฬสินธุ์,1,ภงด90,43729785.81
2566,กาฬสินธุ์,1,ภงด91,38084624.52
2566,กาฬสินธุ์,1,ภงด93,41762550.85
2566,กาฬสินธุ์,1,ภงด94,12484497.57
2566,กาฬสินธุ์,2,ทป3,9600609.59
2566,กาฬสินธุ์,2,ป2,524500
2566,กาฬสินธุ์,2,ภงด50,114935280
2566,กาฬสินธุ์,2,ภงด51,72169824.18
2566,กาฬสินธุ์,2,ภงด53,82527405.45
2566,กาฬสินธุ์,2,ภงด54,148583.25
2566,กาฬสินธุ์,2,ภงด55,252846.96
2566,กาฬสินธุ์,5,ทป3,57138588.01
2566,กาฬสินธุ์,5,ป2,614900
2566,กาฬสินธุ์,5,ภพ30,773770547.3
2566,กาฬสินธุ์,5,ภพ36,5047200.43
2566,กาฬสินธุ์,6,ทป3,122218.59
2566,กาฬสินธุ์,6,ป2,19800
2566,กาฬสินธุ์,6,ภธ40,37239813.3
2566,กาฬสินธุ์,7,อส10,4872319.7
2566,กาฬสินธุ์,7,อส10.1,239149
2566,กาฬสินธุ์,7,อส4,2088765.83
2566,กาฬสินธุ์,7,อส4ก,69794
2566,กาฬสินธุ์,7,อส4ข,1204301.2
2566,กาฬสินธุ์,7,อส9,3887347
2566,กาฬสินธุ์,11,ป2,636900
2566,กำแพงเพชร,1,ทป3,30372575.86
2566,กำแพงเพชร,1,ป2,1451800
2566,กำแพงเพชร,1,ภงด1,47022766.43
2566,กำแพงเพชร,1,ภงด2,19245985.5
2566,กำแพงเพชร,1,ภงด3,46264045.09
2566,กำแพงเพชร,1,ภงด90,41671711.44
2566,กำแพงเพชร,1,ภงด91,21504326.69
2566,กำแพงเพชร,1,ภงด93,52115081.29
2566,กำแพงเพชร,1,ภงด94,10549023.02
2566,กำแพงเพชร,2,ทป3,6953340.75
2566,กำแพงเพชร,2,ป2,373500
2566,กำแพงเพชร,2,ภงด50,54977023.91
2566,กำแพงเพชร,2,ภงด51,34537054.22
2566,กำแพงเพชร,2,ภงด53,161866651.8
2566,กำแพงเพชร,2,ภงด54,151141.81
2566,กำแพงเพชร,2,ภงด55,317794.98
2566,กำแพงเพชร,5,ทป3,26692402.59
2566,กำแพงเพชร,5,ป2,345800
2566,กำแพงเพชร,5,ภพ30,2089304568
2566,กำแพงเพชร,5,ภพ36,11991971.54
2566,กำแพงเพชร,6,ทป3,465873.61
2566,กำแพงเพชร,6,ป2,3900
2566,กำแพงเพชร,6,ภธ40,29775206.65
2566,กำแพงเพชร,7,อส10,3279582.68
2566,กำแพงเพชร,7,อส10.1,2822850
2566,กำแพงเพชร,7,อส4,4580906.11
2566,กำแพงเพชร,7,อส4ก,63081
2566,กำแพงเพชร,7,อส4ข,1665636.98
